n,m,ID,Upper Bound,Mejor Valor,Peor Valor,Valor medio,Desviación estándar,Incremento porcentual relativo (Mejor Valor),Incremento porcentual relativo (Valor medio)
20,5,1,1278,1278,1286,"1281,12","3,76","0,00","0,24"
,,2,1359,1359,1365,"1363,24","2,47","0,00","0,31"
,,3,1081,1081,1100,"1093,24","5,28","0,00","1,13"
,,4,1293,1293,1308,"1300,04","3,19","0,00","0,54"
,,5,1236,1235,1244,"1242,6","2,47","-0,08","0,53"
,,6,1195,1195,1210,"1201,44","7,20","0,00","0,54"
,,7,1239,1251,1251,1251,"0,00","0,97","0,97"
,,8,1206,1206,1212,"1207,36","2,22","0,00","0,11"
,,9,1230,1230,1255,"1240,72","11,11","0,00","0,87"
,,10,1108,1108,1127,"1110,4","4,72","0,00","0,22"
,,,,,,,Media incremento,"0,0887616854","0,5475217133"
,,,,,,,,,
n,m,ID,Upper Bound,Mejor Valor,Peor Valor,Valor medio,Desviación estándar,Incremento porcentual relativo (Mejor Valor),Incremento porcentual relativo (Valor medio)
20,10,11,1582,1582,1601,"1591,38","5,34","0,00","0,59"
,,12,1659,1660,1692,"1675,24","6,16","0,06","0,98"
,,13,1496,1496,1520,"1508,26","5,16","0,00","0,82"
,,14,1378,1379,1401,"1391,74","4,41","0,07","1,00"
,,15,1419,1419,1452,"1431,52","7,70","0,00","0,88"
,,16,1397,1397,1424,"1410,36","8,17","0,00","0,96"
,,17,1484,1484,1505,"1490,14","3,96","0,00","0,41"
,,18,1538,1544,1575,"1559,58","6,37","0,39","1,40"
,,19,1593,1593,1627,"1610,4","8,79","0,00","1,09"
,,20,1591,1604,1629,"1611,78","4,76","0,82","1,31"
,,,,,,,Media incremento,"0,1340059417","0,9442328838"
,,,,,,,,,
n,m,ID,Upper Bound,Mejor Valor,Peor Valor,Valor medio,Desviación estándar,Incremento porcentual relativo (Mejor Valor),Incremento porcentual relativo (Valor medio)
20,20,21,2297,2300,2334,"2314,92","6,34","0,13","0,78"
,,22,2100,2099,2125,"2111,82","7,34","-0,05","0,56"
,,23,2326,2332,2368,"2346,38","8,34","0,26","0,88"
,,24,2223,2223,2248,"2236,84","9,34","0,00","0,62"
,,25,2291,2296,2322,"2311,48","10,34","0,22","0,89"
,,26,2226,2228,2255,"2240,54","11,34","0,09","0,65"
,,27,2273,2273,2309,"2292,58","12,34","0,00","0,86"
,,28,2200,2200,2229,"2215,66","13,34","0,00","0,71"
,,29,2237,2242,2257,"2244,90","14,34","0,22","0,35"
,,30,2178,2178,2212,"2191,38","15,34","0,00","0,61"
,,,,,,,Media incremento,"0,087254586","0,6929603327"
,,,,,,,,,
n,m,ID,Upper Bound,Mejor Valor,Peor Valor,Valor medio,Desviación estándar,Incremento porcentual relativo (Mejor Valor),Incremento porcentual relativo (Valor medio)
50,5,31,2724,2729,2729,2729,0,"0,18","0,18"
,,32,2834,2838,2838,2838,0,"0,14","0,14"
,,33,2621,2621,2621,2621,0,"0,00","0,00"
,,34,2751,2751,2762,"2760,74","3,27","0,00","0,35"
,,35,2863,2863,2864,"2863,98","0,14","0,00","0,03"
,,36,2829,2829,2836,"2832,88","1,96","0,00","0,14"
,,37,2725,2725,2732,"2726,04","2,07","0,00","0,04"
,,38,2683,2683,2686,"2685,7","0,9","0,00","0,10"
,,39,2552,2554,2564,"2562,54","2,39","0,08","0,41"
,,40,2782,2782,2784,"2783,06","0,31","0,00","0,04"
,,,,,,,Media incremento,"0,0403066764","0,1440040941"
,,,,,,,,,
n,m,ID,Upper Bound,Mejor Valor,Peor Valor,Valor medio,Desviación estándar,Incremento porcentual relativo (Mejor Valor),Incremento porcentual relativo (Valor medio)
50,10,41,3025,3034,3096,"3058,00","15,12","0,30","1,09"
,,42,2892,2919,2969,"2943,93","13,32","0,93","1,80"
,,43,2864,2871,2937,"2906,33","15,1","0,24","1,48"
,,44,3064,3071,3110,"3090,37","15,34","0,23","0,86"
